name,address,coordinates,rating,reviews,categories,avg_bill,cuisine,assortment,photo_url,route_duration
"The бык, демократичный мясной ресторан","Невский проспект, 55","{'lat': 59.932201, 'lon': 30.350266}",4.5,1231.0,['Рестораны'],Средний чек 700 ₽,['Европейская кухня'],"['Пицца', 'Шашлык', 'Бургеры', 'Стейки', 'Том-Ям', 'Салаты', 'Супы', 'Колбаски']",['https://i0.photo.2gis.com/main/branch/38/70000001080169041/common'],21.0
"Commode, бар-ресторан","Невский проспект, 47","{'lat': 59.932556, 'lon': 30.347396}",4.5,1748.0,"['Рестораны', 'Бары', 'Караоке-залы', 'Банкетные залы', 'Ночные клубы']",Средний чек 1500 ₽,"['Итальянская кухня', 'Японская кухня', 'Европейская кухня']","['Стейки', 'Салаты', 'Супы', 'Мидии']","['https://i7.photo.2gis.com/main/branch/38/70000001021049341/common', 'https://i7.photo.2gis.com/main/geo/38/5348660212672196/view']",22.7
"Пища династии Минь, китайская закусочная и бар","Короленко, 14","{'lat': 59.942488, 'lon': 30.350266}",4.2,78.0,"['Рестораны', 'Бары', 'Кафе']",Средний чек 1700 ₽,['Китайская кухня'],"['Лапша wok', 'Рис wok', 'Салаты', 'Супы']","['https://i9.photo.2gis.com/main/branch/38/70000001089635797/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212702062/view']",15.0
"Salone pasta&bar, итальянский ресторан","набережная реки Фонтанки, 30","{'lat': 59.938734, 'lon': 30.34345}",4.2,177.0,"['Рестораны', 'Бары', 'Доставка еды']",Средний чек 3500 ₽,['Итальянская кухня'],"['Пицца', 'Стейки', 'Салаты', 'Супы', 'Начос', 'Мидии']","['https://i5.photo.2gis.com/main/branch/38/70000001045474668/common', 'https://i6.photo.2gis.com/main/geo/38/5348660212697178/view']",19.2
"Тартарбар, ресторан","Виленский переулок, 15","{'lat': 59.940025, 'lon': 30.365968}",4.6,503.0,['Рестораны'],Средний чек 2000 ₽,['Авторская кухня'],"['Стейки', 'Салаты', 'Супы', 'Блюда на гриле']","['https://i8.photo.2gis.com/main/branch/38/70000001019987759/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212705646/view']",2.7
"Joli Grand Bistrot, ресторан","Восстания, 45 лит Б","{'lat': 59.941516, 'lon': 30.361663}",4.1,72.0,"['Рестораны', 'Пекарни']",Средний чек 3500 ₽,"['Русская кухня', 'Французская кухня', 'Средиземноморская кухня']","['Бургеры', 'Стейки', 'Салаты', 'Устрицы']","['https://i3.photo.2gis.com/main/branch/38/70000001071586289/common', 'https://i9.photo.2gis.com/main/geo/38/5348660212706266/view']",6.7
"Bourgeois Bohemians, ав﻿торский ресторан братьев Гребенщиковых","Виленский переулок, 15","{'lat': 59.940051, 'lon': 30.364366}",4.7,115.0,['Рестораны'],Средний чек 2300 ₽,"['Европейская кухня', 'Французская кухня', 'Авторская кухня']","['Салаты', 'Супы']","['https://i9.photo.2gis.com/main/branch/38/70000001031994291/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212705646/view']",3.7
"Flori, итальянское бистро","Суворовский проспект, 47","{'lat': 59.939801, 'lon': 30.377878}",4.7,74.0,"['Рестораны', 'Доставка еды']",Средний чек 1800 ₽,"['Итальянская кухня', 'Авторская кухня']","['Пицца', 'Стейки', 'Салаты']","['https://i6.photo.2gis.com/main/branch/38/70000001088777525/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212709941/view']",8.8
"Траппист, бельгийская брассерия","Радищева, 36","{'lat': 59.94156, 'lon': 30.363407}",4.8,408.0,"['Рестораны', 'Бары', 'Доставка еды']",Средний чек 2000 ₽,['Французская кухня'],"['Стейки', 'Фо-бо', 'Салаты', 'Супы', 'Блюда на гриле', 'Куриные крылышки', 'Колбаски', 'Устрицы']","['https://i2.photo.2gis.com/main/branch/38/5348553838529810/common', 'https://i0.photo.2gis.com/main/geo/38/5348660212804655/view']",5.6
"Duo, гастробар","Кирочная улица, 8 лит Б","{'lat': 59.944207, 'lon': 30.351734}",4.7,565.0,['Рестораны'],Средний чек 1500 ₽,['Европейская кухня'],"['Салаты', 'Супы']","['https://i5.photo.2gis.com/main/branch/38/5348553839006429/common', 'https://i4.photo.2gis.com/main/geo/38/5348660212794295/view']",16.0
